Component Name,File Path,Purpose,Usage Locations,Lines of Code,Dependencies,Duplication Level,Consolidation Priority,Performance Issues,Responsive Issues,Accessibility Issues,Recommended Action
AccessibleStreamingText,/src/components/AccessibleStreamingText.tsx,Streaming text with accessibility features,Accessibility-focused streaming,240,StreamingTextRenderer,MEDIUM,MEDIUM,"Good performance","Responsive","Excellent accessibility",MERGE with StreamingTextRenderer
TypewriterText,/src/components/TypewriterText.tsx,Simple typewriter animation effect,Text animation effects,80,None,LOW,LOW,"Lightweight","Works everywhere","Basic",KEEP as utility
TranscriptionStatusIndicator,/src/components/TranscriptionStatusIndicator.tsx,Shows transcription status with visual indicators,Status display across app,120,None,LOW,LOW,"Good performance","Responsive","Good accessibility",OPTIMIZE slightly
StreamingStateIndicator,/src/components/StreamingStateIndicator.tsx,Indicates current streaming state,Streaming status display,100,TranscriptionStatusIndicator,MEDIUM,LOW,"No issues","Responsive","Basic accessibility",CONSIDER merging with TranscriptionStatusIndicator
GeminiConnectionIndicator,/src/components/GeminiConnectionIndicator.tsx,Shows Gemini API connection status,WebSocket connection monitoring,110,WebSocketConnectionStatus,MEDIUM,LOW,"Good performance","Responsive","Basic accessibility",CONSIDER merging with WebSocketConnectionStatus
WebSocketConnectionStatus,/src/components/WebSocketConnectionStatus.tsx,WebSocket connection status display,Connection monitoring,130,None,MEDIUM,LOW,"No performance issues","Responsive","Good accessibility",STANDARDIZE status display
CustomTitleBar,/src/components/CustomTitleBar.tsx,Electron app title bar with controls,Main window title bar,280,WindowControls | RecordingControls,LOW,LOW,"Memory leaks in IPC listeners","Fixed sizing issues on mobile","Good keyboard navigation",FIX memory leaks and mobile layout
RecordingControls,/src/components/RecordingControls.tsx,Audio recording start/stop controls,Recording interface,180,GlassButton,LOW,LOW,"No major issues","Generally responsive","Good accessibility",MINOR optimizations
WindowControls,/src/components/WindowControls.tsx,Window minimize/maximize/close controls,Window management,90,None,LOW,LOW,"Good performance","Fixed layout","Basic accessibility",KEEP as is
AutoScrollComponents,/src/components/AutoScrollComponents.tsx,Auto-scrolling functionality for transcript views,Transcript auto-scroll,200,None,LOW,LOW,"Performance issues with large lists","Works on all devices","Good accessibility",OPTIMIZE scroll performance
WebSocketDiagnosticsPanel,/src/components/WebSocketDiagnosticsPanel.tsx,Debug panel for WebSocket connections,Development and debugging,350,GlassBox,LOW,LOW,"Large state objects not cleaned up","Overlaps on small screens","Limited accessibility",FIX memory cleanup and mobile layout
VirtualizedTranscript,/src/components/VirtualizedTranscript.tsx,Virtualized list for large transcript displays,Large transcript handling,220,react-window,LOW,LOW,"Good performance with virtualization","Responsive","Accessibility challenges with virtualization",IMPROVE accessibility
TelemetryDashboard,/src/components/TelemetryDashboard.tsx,Performance and usage telemetry display,Development monitoring,300,GlassBox | Charts,LOW,LOW,"Chart rendering performance","Generally responsive","Basic accessibility",OPTIMIZE chart rendering
FocusManager,/src/components/FocusManager.tsx,Manages focus for dynamic content,Focus management utility,150,None,LOW,LOW,"Good performance","Not display-dependent","Excellent accessibility",KEEP as utility
ThemeStatus,/src/components/ThemeStatus.tsx,Shows current theme status,Theme debugging,60,None,LOW,LOW,"Lightweight","Responsive","Basic",KEEP as utility
ToggleTheme,/src/components/ToggleTheme.tsx,Theme switching control,Theme toggle functionality,70,GlassButton,LOW,LOW,"No issues","Responsive","Good accessibility",KEEP as is
LiveTranscriptionDemo,/src/components/LiveTranscriptionDemo.tsx,Demo interface for live transcription,Development and testing,450,EnhancedLiveStreamingArea | useTranscriptionIntegration,N/A,N/A,"Demo only","Responsive","Good for testing accessibility",KEEP for development
GeminiLiveDemo,/src/components/GeminiLiveDemo.tsx,Demo for Gemini Live API integration,Development and testing,380,GeminiConnectionIndicator | WebSocketDiagnosticsPanel,N/A,N/A,"Demo only","Responsive","Basic",KEEP for development
AccessibilityDemo,/src/components/AccessibilityDemo.tsx,Demonstrates accessibility features,Accessibility testing,200,AccessibleStreamingText | FocusManager,N/A,N/A,"Demo only","Responsive","Excellent for testing",KEEP for development
AutoScrollDemo,/src/components/AutoScrollDemo.tsx,Demonstrates auto-scroll functionality,Auto-scroll testing,180,AutoScrollComponents,N/A,N/A,"Demo only","Responsive","Good for testing",KEEP for development
